time,open,high,low,close,Fractal High,Fractal Low,Chars,Chars,Chars,Chars,Chars,Chars,Chars
1761730200,6932.5,6935,6930.75,6933.75,0,1,0,0,0,0,0,0,0
1761731100,6933.75,6936.25,6932.75,6936,0,0,0,0,0,0,0,0,0
1761732000,6936,6938.5,6934.25,6937.5,0,0,0,0,0,0,0,0,0
1761732900,6937.75,6940.5,6937,6939.5,0,0,0,0,0,0,0,0,0
1761733800,6939.75,6940.75,6938.5,6939,0,0,0,0,0,0,0,0,0
1761734700,6938.75,6942.5,6938.25,6938.75,0,0,0,0,0,0,0,0,0
1761735600,6938.5,6943.75,6937,6943.5,0,1,0,0,0,0,0,0,0
1761736500,6943.25,6946.75,6942,6946.25,0,0,0,0,0,0,0,0,0
1761737400,6946,6948.75,6945,6947.5,1,0,0,0,0,0,0,0,0
1761738300,6947.5,6947.75,6942.5,6943,0,0,0,0,0,0,0,0,0
1761739200,6943,6945.25,6942.5,6944.5,0,0,0,0,0,0,0,0,0
1761740100,6944.5,6946,6940.5,6941.25,1,0,0,0,0,0,0,0,0
1761741000,6941,6942.25,6937.5,6938.5,0,1,0,0,0,0,0,0,0
1761741900,6938.5,6943.5,6938.25,6942,0,0,0,0,0,0,0,0,0
1761742800,6942,6945,6941.25,6944,0,0,0,0,0,0,0,0,0
1761743700,6944,6945.25,6941.5,6942,0,0,0,0,0,0,0,0,0
1761744600,6942,6947.5,6936.25,6947.25,0,1,0,0,0,0,0,0,0
1761745500,6947.5,6952,6942,6950.75,0,0,0,0,0,0,0,0,0
1761746400,6951,6952,6939.25,6942.75,1,1,0,0,0,0,0,0,0
1761747300,6942.75,6945.25,6940,6944.75,0,0,0,0,0,0,0,0,0
1761748200,6944.5,6946,6936.5,6937.5,1,0,0,0,0,0,0,0,0
1761749100,6937.5,6940.5,6932.5,6938,0,1,0,0,0,0,0,0,0
1761750000,6938.25,6940.25,6935,6938.25,0,0,0,0,0,0,0,0,0
1761750900,6938.25,6942.75,6935.75,6937.5,1,0,0,0,0,0,0,0,0
1761751800,6937.5,6938.25,6933.25,6936.75,0,0,0,0,0,0,0,0,0
1761752700,6936.5,6938.25,6932.75,6934.75,0,0,0,0,0,0,0,0,0
1761753600,6934.75,6936,6930,6934.75,0,1,0,0,0,0,0,0,0
1761754500,6934.5,6940,6934.25,6939.25,0,0,0,0,0,0,0,0,0
1761755400,6939.25,6941,6937.5,6939.5,0,0,0,0,0,0,0,0,0
1761756300,6939.75,6942.5,6937.75,6940,1,0,0,0,0,0,0,0,0
1761757200,6940,6941,6937.25,6940.5,0,0,0,0,0,0,0,0,0
1761758100,6940.5,6942.5,6931.5,6933.75,1,0,0,0,0,0,0,0,0
1761759000,6933.5,6936,6930.25,6935.5,0,1,0,0,0,0,0,0,0
1761759900,6935.5,6940,6933,6934.25,0,0,0,0,0,0,0,0,0
1761760800,6934,6945,6927.5,6930.75,1,1,0,0,0,0,0,0,0
1761761700,6930.75,6937.25,6928,6935,0,0,0,0,0,0,0,0,0
1761762600,6935,6942,6882.5,6886.75,1,1,0,0,0,0,0,0,0
1761763500,6886.75,6923.75,6885.25,6915,0,0,0,0,0,0,0,0,0
1761764400,6914.75,6923.25,6898.75,6914.75,0,0,0,0,0,0,0,0,0
1761765300,6915,6922,6904,6908.75,0,0,0,0,0,0,0,0,0
1761766200,6908.5,6912.25,6894.75,6909.25,0,1,0,0,0,0,0,0,0
1761767100,6909.5,6929.25,6909,6928,0,0,0,0,0,0,0,0,0
1761768000,6928,6946.75,6905.25,6921.5,1,1,0,0,0,0,0,0,0
1761768900,6921.25,6928.5,6911.75,6924.5,0,0,0,0,0,0,0,0,0
1761769800,6924.25,6929,6919.25,6928,0,0,0,0,0,0,0,0,0
1761770700,6928.25,6929.5,6917.5,6918.25,1,0,0,0,0,0,0,0,0
1761775200,6908,6922,6902.25,6914.25,0,1,0,0,0,0,0,0,0
1761776100,6914.75,6916.25,6908,6908,0,0,0,0,0,0,0,0,0
1761777000,6908.25,6916,6908.25,6913.75,0,0,0,0,0,0,0,0,0
1761777900,6913.75,6916,6912,6913,0,0,0,0,0,0,0,0,0
1761778800,6913.25,6915.5,6911,6912.75,0,1,0,0,0,0,0,0,0
1761779700,6912.75,6921.25,6912.5,6919.75,1,0,0,0,0,0,0,0,0
1761780600,6919.75,6920,6908,6911,0,1,0,0,0,0,0,0,0
1761781500,6911.25,6924.75,6910.75,6922.25,0,0,0,0,0,0,0,0,0
1761782400,6922.5,6931.75,6922.25,6930.25,0,0,0,0,0,0,0,0,0
1761783300,6930.25,6936,6928,6934.5,0,0,0,0,0,0,0,0,0
1761784200,6934.75,6940,6932.75,6933,1,0,0,0,0,0,0,0,0
1761785100,6933.25,6935.25,6930.25,6933,0,0,0,0,0,0,0,0,0
1761786000,6933.25,6937.5,6926.25,6933.25,1,1,0,0,0,0,0,0,0
1761786900,6932.75,6935.25,6930.75,6932.5,0,0,0,0,0,0,0,0,0
1761787800,6932.5,6939.25,6928.75,6937.75,1,1,0,0,0,0,0,0,0
1761788700,6937.5,6938.75,6934.5,6936,0,0,0,0,0,0,0,0,0
1761789600,6936,6944.5,6935.25,6944.25,0,0,0,0,0,0,0,0,0
1761790500,6944.25,6948.75,6944,6945.75,0,0,0,0,0,0,0,0,0
1761791400,6945.75,6948.75,6942.75,6945.75,1,0,0,0,0,0,0,0,0
1761792300,6946,6947.25,6941.75,6944.25,0,1,0,0,0,0,0,0,0
1761793200,6944,6949.5,6944,6948.75,0,0,0,0,0,0,0,0,0
1761794100,6949,6952.25,6948,6949.25,0,0,0,0,0,0,0,0,0
1761795000,6949,6952.25,6947.5,6950,0,0,0,0,0,0,0,0,0
1761795900,6949.75,6955,6945.5,6948,1,0,0,0,0,0,0,0,0
1761796800,6948,6948.75,6910,6914.25,0,0,0,0,0,0,1,0,0
1761797700,6914.25,6923.25,6900.75,6905.5,0,1,0,0,0,0,0,0,0
1761798600,6905.75,6938.25,6904,6916,1,0,0,0,0,0,0,0,0
1761799500,6915.75,6924,6912.5,6914.25,0,0,0,0,0,0,0,0,0
1761800400,6914.5,6923,6912.25,6921.75,0,1,0,0,0,0,0,0,0
1761801300,6922,6931,6918,6930.25,0,0,0,0,0,0,0,0,0
1761802200,6930.5,6938.25,6929.5,6931,1,0,0,0,0,0,0,0,0
1761803100,6931.5,6934.5,6926.75,6930,0,0,0,0,0,0,0,0,0
1761804000,6929.5,6930.5,6920.5,6921.75,0,0,0,0,0,0,0,0,0
1761804900,6922.25,6922.75,6916,6917.75,0,1,0,0,0,0,0,0,0
1761805800,6917.5,6922.25,6917,6921.75,0,0,0,0,0,0,0,0,0
1761806700,6921.5,6926.75,6919,6919.5,0,0,0,0,0,0,0,0,0
1761807600,6919.5,6929,6911.75,6928,0,1,0,0,0,0,0,0,0
1761808500,6928,6932.5,6921.5,6922,1,0,0,0,0,0,0,0,0
1761809400,6921.75,6926.25,6920.75,6925.25,0,1,0,0,0,0,0,0,0
1761810300,6925.5,6930,6924,6927,1,0,0,0,0,0,0,0,0
1761811200,6927.25,6929.25,6917.25,6917.75,0,0,0,0,0,0,0,0,0
1761812100,6917.75,6924.25,6916,6921,0,1,0,0,0,0,0,0,0
1761813000,6921,6924.75,6917.75,6924,0,0,0,0,0,0,0,0,0
1761813900,6924,6926.5,6921.25,6922,1,0,0,0,0,0,0,0,0
