time,open,high,low,close
2021-07-28,17520,17718.5,17510.25,17655.25
2021-07-29,17628,17727.75,17548,17681.5
2021-07-30,17553.75,17623.5,17455.25,17599.5
2021-08-02,17616,17699.75,17576.25,17596.5
2021-08-03,17607.5,17693.75,17492.5,17690
2021-08-04,17682.75,17751.75,17640.5,17717.25
2021-08-05,17724.75,17816,17713.25,17811.5
2021-08-06,17811.75,17813.75,17691.25,17739.25
2021-08-09,17735,17789.75,17647.25,17769
2021-08-10,17771.5,17801,17638.5,17688.25
2021-08-11,17689,17762.75,17606.75,17663.25
2021-08-12,17651.5,17734.25,17584.75,17722.25
2021-08-13,17720.75,17785.25,17699,17769.5
2021-08-16,17763.75,17782.75,17560.75,17777.75
2021-08-17,17777.5,17778.5,17540.75,17641.25
2021-08-18,17614.75,17680.75,17450.25,17493
2021-08-19,17484.5,17642.75,17354.75,17571.75
2021-08-20,17586.75,17743.75,17495.5,17730.5
2021-08-23,17736,17981.75,17731.25,17948.25
2021-08-24,17971.25,18027.75,17953,17999.25
2021-08-25,18005,18040.75,17976.75,18008
2021-08-26,18010.75,18012.25,17899.25,17918.5
2021-08-27,17930.25,18087.5,17909.25,18070.25
2021-08-30,18075.5,18261.5,18063.75,18241.25
2021-08-31,18247.5,18321,18157.75,18226.25
2021-09-01,18245,18341.75,18221.5,18253
2021-09-02,18252.75,18326,18195,18244.75
2021-09-03,18243,18321.25,18195.75,18295.25
2021-09-07,18297.5,18352.5,18250.75,18318.5
2021-09-08,18314.75,18334.75,18167.25,18263.75
2021-09-09,18253.75,18320.25,18189.5,18202.5
2021-09-10,18205,18311.25,18077.25,18085.25
2021-09-13,18093.5,18208.75,17994.25,18080.5
2021-09-14,18096.5,18174.25,17994.75,18030.25
2021-09-15,18042.5,18165,17958.5,18147
2021-09-16,18160.25,18183.5,18009.5,18160
2021-09-17,18149.5,18178.75,17926.5,17976.5
2021-09-20,17935.5,17988.5,17458,17660
2021-09-21,17641.75,17814,17614.25,17674.5
2021-09-22,17642.75,17877.5,17579.75,17814
2021-09-23,17828.25,17997.25,17825,17954
2021-09-24,17949.25,17984.5,17827.25,17969.25
2021-09-27,17969.25,18050,17734.5,17845.25
2021-09-28,17823,17842.75,17391.25,17415.25
2021-09-29,17420.5,17576.75,17361.5,17390.25
2021-09-30,17412.5,17534.5,17320.5,17333
2021-10-01,17351,17468.5,17187.5,17412.25
2021-10-04,17431.5,17486.25,17018.25,17112.75
2021-10-05,17139,17405,17060.5,17305.75
2021-10-06,17312.25,17420.5,17072.75,17409.5
2021-10-07,17417.5,17651.75,17415.5,17531.75
2021-10-08,17544.5,17648.5,17441.5,17458.75
2021-10-11,17460.5,17547.25,17327.25,17351
2021-10-12,17338.75,17433.75,17236,17303.75
2021-10-13,17245.5,17446.5,17240.75,17414.75
2021-10-14,17420.5,17722,17417.25,17687.75
2021-10-15,17715,17795.5,17671.25,17785
2021-10-18,17796.75,17950.5,17689,17941
2021-10-19,17940.75,18079,17920,18049
2021-10-20,18061,18097.25,17969.75,18028
2021-10-21,18008.75,18134.25,17951.25,18129.25
2021-10-22,18036,18114.25,17924.25,17991.5
2021-10-25,17976,18196.25,17947,18146.25
2021-10-26,18194,18351.5,18153.25,18195.5
2021-10-27,18173.75,18367.75,18157.75,18237.75
2021-10-28,18246.5,18428.25,18241.75,18415.25
2021-10-29,18327.5,18519.5,18245.5,18489
2021-11-01,18525.5,18565.25,18419.25,18544.75
2021-11-02,18541.75,18630.75,18500,18611.75
2021-11-03,18609,18796.5,18585.5,18780.25
2021-11-04,18780.5,19029,18778.5,18981.25
2021-11-05,18986,19099,18942.75,19002.25
2021-11-08,18950.5,19044.75,18915.5,18978.25
2021-11-09,18963.75,19042.25,18810.5,18863.25
2021-11-10,18852.75,18893.5,18548.25,18631
2021-11-11,18640.75,18764,18626.5,18673.25
2021-11-12,18692.5,18864,18652.25,18843.25
2021-11-15,18861.5,18927,18733.25,18838.25
2021-11-16,18849.5,18974.25,18793,18951.25
2021-11-17,18947.25,19049.25,18920.25,18962
2021-11-18,18972.5,19159.5,18954.25,19131.75
2021-11-19,19156,19279,19140.5,19225.5
2021-11-22,19250.25,19418,19015.25,19032.5
2021-11-23,19050.25,19069.25,18769,18962.5
2021-11-24,18949.5,19019,18752.5,19016.5
2021-11-26,19011.5,19086.25,18638.5,18701.5
2021-11-29,18696.75,19088.25,18687.5,19041.25
2021-11-30,19069.25,19107,18718.75,18801
2021-12-01,18886.25,19078.25,18477,18520.25
2021-12-02,18541,18717,18413.75,18639
2021-12-03,18669.5,18772.25,18188.5,18368.25
2021-12-06,18354.25,18547.5,18209.75,18493.25
2021-12-07,18499.5,19025.5,18475.5,18968.5
2021-12-08,19014.25,19086.5,18902,19042.75
2021-12-09,19031.25,19070.5,18770.75,18799.25
2021-12-10,18809.5,18986.5,18778,18980.25
2021-12-13,18971.5,19062.25,18714.5,18732.5
2021-12-14,18741,18784,18385.5,18573.25
2021-12-15,18576.75,18951,18391.25,18937.25
2021-12-16,18938.5,19108,18443.75,18517.75
2021-12-17,18529.25,18607.75,18302,18439
