time,open,high,low,close
1760958000,25041,25090,25037.25,25084.25
1760961600,25083.75,25132.5,25075,25130
1760965200,25129.5,25239.5,25114.75,25222
1760968800,25222.25,25321.75,25210.25,25314.25
1760972400,25314.25,25345.5,25289.25,25317.5
1760976000,25317.5,25327.5,25290,25314.75
1760979600,25314.25,25355,25311.5,25336.75
1760983200,25336,25353,25306.5,25327.25
1760986800,25327.5,25339,25297,25299.75
1760990400,25300.25,25327.75,25289.25,25326.25
1760997600,25326.25,25329.75,25308,25320.5
1761001200,25321.25,25345.75,25316.75,25323.75
1761004800,25323.5,25343.25,25311,25341.75
1761008400,25341.5,25358.25,25330,25344.5
1761012000,25344.25,25368,25342.5,25347.75
1761015600,25347.5,25355.75,25318.75,25329.75
1761019200,25329.5,25331,25295,25307.25
1761022800,25308,25317.25,25275.75,25296.75
1761026400,25296.75,25298,25265.25,25278.5
1761030000,25278.75,25291,25260.5,25277
1761033600,25277.25,25284.5,25252.75,25268
1761037200,25267.75,25296,25265.75,25281.5
1761040800,25281.75,25289,25258.75,25279.75
1761044400,25279,25308.75,25273.75,25307.25
1761048000,25306.75,25315.75,25290.75,25298.75
1761051600,25298.75,25306,25213.75,25234.75
1761055200,25235,25301.75,25203,25298
1761058800,25298,25326.75,25242,25322.75
1761062400,25322.25,25347.5,25277.5,25285.5
1761066000,25285.75,25314.75,25250,25313.25
1761069600,25313.5,25324,25290,25309.5
1761073200,25309.25,25334,25286.25,25291.25
1761076800,25291.25,25299.25,25228.75,25265
1761084000,25277,25285,25257.5,25270.5
1761087600,25270.75,25271.25,25240.25,25245
1761091200,25245,25256.25,25220,25226
1761094800,25225.75,25268.25,25216,25266.25
1761098400,25266.5,25282.5,25253,25273.5
1761102000,25273.5,25292.75,25243.75,25290.5
1761105600,25290.75,25333,25289.5,25316.75
1761109200,25317.5,25326,25297.5,25307.25
1761112800,25308.5,25338.5,25294,25318.5
1761116400,25319.25,25321,25270.75,25297.75
1761120000,25297.5,25298.75,25251.25,25267.5
1761123600,25266,25274.5,25231,25272.25
1761127200,25272,25305,25263,25286.5
1761130800,25286.5,25290.75,25206.75,25224
1761134400,25224.75,25267.75,25218,25260.5
1761138000,25260.75,25289.5,25172.75,25258
1761141600,25257.75,25281,25050.5,25173.5
1761145200,25173,25191.75,25003,25100.75
1761148800,25101,25110.25,24866.25,24992.25
1761152400,24992,25011,24805.25,24873.5
1761156000,24873.75,24960,24827.5,24958
1761159600,24958,25058.5,24923.5,25040.75
1761163200,25040.25,25077,25023.5,25040
1761170400,25014.75,25059.5,24998.5,25045
1761174000,25045,25066,24991.5,24996.5
1761177600,24996.25,25055,24951,25048.75
1761181200,25048.75,25105.25,25046,25098.75
1761184800,25099,25112,25090.25,25098.5
1761188400,25099,25113.5,25074,25086.25
1761192000,25086.25,25094.75,25061,25071
1761195600,25071,25094,25053.25,25091
1761199200,25091,25112.25,25075.25,25104.25
1761202800,25104.25,25128.25,25068,25091.25
1761206400,25091.25,25115,25069.75,25083.75
1761210000,25084.5,25092.25,25025,25058.75
1761213600,25060,25068.25,25035,25049.5
1761217200,25049.25,25052.75,24963,24973.5
1761220800,24973.5,25011.75,24933.25,25008
1761224400,25008,25179.75,24940.25,25160.5
1761228000,25160.5,25199.25,25083.75,25189.75
1761231600,25189.75,25216.5,25119.5,25194.25
1761235200,25194.75,25241.75,25184.5,25240
1761238800,25240,25283.5,25189.5,25279.25
1761242400,25279.5,25288.25,25245.5,25273.75
1761246000,25274.25,25282.75,25230.75,25252.5
1761249600,25252.5,25295,25247.25,25277.25
1761256800,25285,25303.25,25275.5,25291.25
1761260400,25291.75,25305,25289.75,25297.5
1761264000,25298.75,25305,25284.25,25300.75
1761267600,25301,25321,25297,25318.25
1761271200,25317.75,25326.25,25303,25310
1761274800,25310,25330,25304.5,25328.75
1761278400,25328.75,25335.5,25319.75,25332
1761282000,25332,25347.75,25327.25,25346.5
1761285600,25347,25381.25,25345,25360.5
1761289200,25361,25368.75,25333.5,25337
1761292800,25337.5,25371.75,25323.5,25353.75
1761296400,25352.75,25394,25351.75,25377.25
1761300000,25377,25391.25,25364.5,25366.25
1761303600,25366.25,25386.5,25362,25374.5
1761307200,25374.5,25522.5,25326.5,25458.75
1761310800,25459,25550.5,25430,25475.25
1761314400,25492.5,25541.25,25432.5,25468.25
1761318000,25468,25547,25455,25523
1761321600,25522.75,25569,25520.25,25551.5
1761325200,25550.5,25568,25538.5,25549
1761328800,25549,25558.5,25528.5,25543.75
1761332400,25543.75,25567,25497.5,25509
1761336000,25509.25,25525.75,25497.5,25510.25
1761516000,25698.5,25788,25698.5,25721.25
1761519600,25721,25742.25,25709.75,25717.25
