date,pm_open,pm_high,pm_low,pm_close,pm_volume,pm_range,open_price,first_30_high,first_30_low,first_30_close,first_30_volume,first_30_range,first_move_direction,first_move_size,reversal_detected,real_move_direction,real_move_size,pm_eq,open_zone,pm_delta,pm_cvd_change,opening_delta,opening_cvd_change,weekday,date_parsed
2025-08-25,25000.0,25200.0,24800.0,25100.0,500000,400.0,23718.75,23892.5,22100.0,22700.0,10.0,1792.5,DOWN,6475.0,True,UP,695.0,25000.0,DISCOUNT,1000,1000,2000,2000,Monday,2025-08-25
2025-08-28,25000.0,25200.0,24800.0,25100.0,500000,400.0,24294.5,35567.75,21900.0,23805.0,79.0,13667.75,UP,45093.0,True,DOWN,9578.0,25000.0,DISCOUNT,1000,1000,2000,2000,Thursday,2025-08-28
2025-09-01,25000.0,25200.0,24800.0,25100.0,500000,400.0,23808.75,,,,,,,,,,,25000.0,DISCOUNT,1000,1000,2000,2000,Monday,2025-09-01
2025-09-03,25000.0,25200.0,24800.0,25100.0,500000,400.0,24185.0,24444.0,22831.0,23291.0,29.0,1613.0,DOWN,5416.0,True,UP,1036.0,25000.0,DISCOUNT,1000,1000,2000,2000,Wednesday,2025-09-03
2025-09-08,25000.0,25200.0,24800.0,25100.0,500000,400.0,24840.5,24400.0,23520.0,23733.0,9.0,880.0,DOWN,5282.0,False,DOWN,5282.0,25000.0,DISCOUNT,1000,1000,2000,2000,Monday,2025-09-08
2025-09-15,25000.0,25200.0,24800.0,25100.0,500000,400.0,23705.0,25500.0,22921.0,23053.25,19.0,2579.0,UP,7180.0,True,DOWN,3136.0,25000.0,DISCOUNT,1000,1000,2000,2000,Monday,2025-09-15
2025-09-16,25000.0,25200.0,24800.0,25100.0,500000,400.0,32000.0,32000.0,20000.0,25544.0,7.0,12000.0,DOWN,48000.0,False,DOWN,48000.0,25000.0,PREMIUM,1000,1000,2000,2000,Tuesday,2025-09-16
2025-09-22,25000.0,25200.0,24800.0,25100.0,500000,400.0,25125.0,26055.0,22500.0,24815.0,75.0,3555.0,DOWN,10500.0,True,UP,3720.0,25000.0,PREMIUM,1000,1000,2000,2000,Monday,2025-09-22
2025-09-23,25000.0,25200.0,24800.0,25100.0,500000,400.0,25000.0,25597.0,23899.75,24676.75,52.0,1697.25,DOWN,4401.0,True,UP,2388.0,25000.0,EQUILIBRIUM,1000,1000,2000,2000,Tuesday,2025-09-23
2025-09-24,25000.0,25200.0,24800.0,25100.0,500000,400.0,25250.0,27825.0,22905.25,24853.25,65.0,4919.75,UP,10300.0,True,DOWN,9379.0,25000.0,PREMIUM,1000,1000,2000,2000,Wednesday,2025-09-24
2025-09-29,25053.25,26096.25,247.85,24821.0,679090,25848.4,25114.0,2475963.0,247.8,24788.25,4248205.0,2475715.2,UP,17720.0,True,DOWN,497324.0,13172.05,PREMIUM,-9748,-10015,-26457,-36364,Monday,2025-09-29
2025-09-30,25000.0,25200.0,24800.0,25100.0,500000,400.0,,24625.0,252.35,24425.5,15.0,24372.65,DOWN,,False,DOWN,,25000.0,EQUILIBRIUM,1000,1000,2000,2000,Tuesday,2025-09-30
2025-10-06,24900.0,28396.75,244.05,25156.25,556152,28152.7,25530.0,253011.0,100.0,25237.0,4243203.0,252911.0,UP,9400.0,True,DOWN,508600.0,14320.4,PREMIUM,7926,7741,73047,80890,Monday,2025-10-06
2025-10-07,25000.0,25200.0,24800.0,25100.0,500000,400.0,22270.75,28500.0,28500.0,28500.0,1.0,0.0,UP,24917.0,False,UP,24917.0,25000.0,DISCOUNT,1000,1000,2000,2000,Tuesday,2025-10-07
2025-10-08,25000.0,25200.0,24800.0,25100.0,500000,400.0,25627.0,27922.5,22382.5,25040.0,134.0,5540.0,DOWN,12978.0,True,UP,9182.0,25000.0,PREMIUM,1000,1000,2000,2000,Wednesday,2025-10-08
2025-10-13,25000.0,25200.0,24800.0,25100.0,500000,400.0,25570.0,25807.0,22778.25,25465.0,6.0,3028.75,DOWN,11167.0,True,UP,948.0,25000.0,PREMIUM,1000,1000,2000,2000,Monday,2025-10-13
2025-10-20,25000.0,25200.0,24800.0,25100.0,500000,400.0,24653.5,25998.0,24425.0,24800.0,10.0,1573.0,UP,5378.0,True,DOWN,914.0,25000.0,DISCOUNT,1000,1000,2000,2000,Monday,2025-10-20
2025-10-27,26061.0,29482.5,98.25,25815.25,499816,29384.25,25891.5,260110.0,205.3,25925.0,4171396.0,259904.7,DOWN,513425.0,True,UP,4684370.0,14790.375,PREMIUM,-1726,-1746,-15960,-15956,Monday,2025-10-27
