time,open,high,low,close,Fractal High,Fractal Low,Chars,Chars,Chars,Chars,Chars,Chars,Chars
1758862800,6653.75,6657.5,6653,6656.25,0,1,0,0,0,0,0,0,0
1758863700,6656,6659,6655.75,6658.25,0,0,0,0,0,0,0,0,0
1758864600,6658.5,6660.5,6656.5,6659.75,0,0,0,0,0,0,0,0,0
1758865500,6659.75,6661.5,6657.5,6661,0,0,0,0,0,0,0,0,0
1758866400,6661,6669.75,6660,6669.75,0,0,0,0,0,0,0,0,0
1758867300,6669.75,6673.5,6669,6672.25,1,0,0,0,0,0,0,0,0
1758868200,6672.25,6672.25,6668.25,6669.75,0,0,0,0,0,0,0,0,0
1758869100,6670,6670.75,6667,6668.75,0,0,0,0,0,0,0,0,0
1758870000,6668.75,6671.5,6665.75,6670.25,0,0,0,0,0,0,0,0,0
1758870900,6670.25,6674,6664.5,6673.75,0,1,0,0,0,0,0,0,0
1758871800,6673.75,6674.5,6669.5,6671.75,1,0,0,0,0,0,0,0,0
1758872700,6671.75,6673.5,6667.5,6670.5,0,1,0,0,0,0,0,0,0
1758873600,6670.25,6672.25,6668.5,6671.5,0,0,0,0,0,0,0,0,0
1758874500,6671.5,6673,6666.5,6669,1,0,0,0,0,0,0,0,0
1758875400,6669,6670,6666,6666.5,0,0,0,0,0,0,0,0,0
1758876300,6666.75,6666.75,6660,6660,0,0,0,0,0,0,0,0,0
1758877200,6660.25,6665.25,6656.75,6665,0,1,0,0,0,0,0,0,0
1758878100,6665,6665.5,6659.5,6660,1,0,0,0,0,0,0,0,0
1758879000,6659.75,6663,6659.5,6663,0,0,0,0,0,0,0,0,0
1758879900,6663,6665.75,6662.5,6664.5,0,0,0,0,0,0,0,0,0
1758880800,6664.75,6666.75,6659,6661.75,1,1,0,0,0,0,0,0,0
1758881700,6661.75,6662.75,6659.25,6659.5,0,0,0,0,0,0,0,0,0
1758882600,6659.5,6660,6657.5,6658.25,0,0,0,0,0,0,0,0,0
1758883500,6658,6660,6657.25,6659.5,0,1,0,0,0,0,0,0,0
1758884400,6659.25,6665,6658.75,6663.25,1,0,0,0,0,0,0,0,0
1758885300,6663.5,6663.5,6657,6660,0,1,0,0,0,0,0,0,0
1758886200,6659.75,6665.5,6658.5,6664,0,0,0,0,0,0,0,0,0
1758887100,6664,6669,6663.75,6666,0,0,0,0,0,0,0,0,0
1758888000,6666,6669,6664.25,6667.25,0,0,0,0,0,0,0,0,0
1758888900,6667,6671.25,6667,6669.75,0,0,0,0,0,0,0,0,0
1758889800,6670.25,6690.5,6668.25,6686.75,1,0,0,0,0,0,0,0,0
1758890700,6686.25,6686.5,6678.75,6681.5,0,0,0,0,0,0,0,0,0
1758891600,6681.5,6682.25,6675.25,6678.25,0,0,0,0,0,0,0,0,0
