timestamp_est,symbol,order_id,side,price,size,order_type,action,session_id,data_type,cbdr_window
2025-11-12 06:00:02.634,MNQZ5.CME@RITHMIC,124416468310400,BUY,25720.0,35,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:02.775,MNQZ5.CME@RITHMIC,124416609625800,BUY,25720.0,38,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:04.198,MNQZ5.CME@RITHMIC,124418032469900,BUY,25600.0,65,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:04.205,MNQZ5.CME@RITHMIC,124418039525200,BUY,25650.0,69,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:04.213,MNQZ5.CME@RITHMIC,124418047616500,BUY,25720.0,34,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:04.230,MNQZ5.CME@RITHMIC,124418064403400,BUY,25740.0,22,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:04.247,MNQZ5.CME@RITHMIC,124418081522800,BUY,25780.0,26,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:04.370,MNQZ5.CME@RITHMIC,124418204475700,SELL,25820.0,24,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:16.514,MNQZ5.CME@RITHMIC,124430348903400,BUY,25763.75,20,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:20.990,MNQZ5.CME@RITHMIC,124434824247800,BUY,25710.0,51,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
2025-11-12 06:00:21.304,MNQZ5.CME@RITHMIC,124435138765400,SELL,25820.0,25,DEPTH,DEPTH,MNQZ5.CME@RITHMIC_20251110_222708_67c71008,DEPTH,NONE
