price_level,event_type,side,event_count,total_volume,avg_significance,first_event,last_event
25630.0,SWEEP,BUY,638,0,0.28922382445140987,2025-11-11 07:08:18.176196-05:00,2025-11-11 07:23:27.578816-05:00
25630.0,SWEEP,SELL,523,0,0.2956833652007627,2025-11-11 07:08:18.945294-05:00,2025-11-11 07:23:26.403975-05:00
25620.0,ABSORPTION,BUY,214,922,0.6221585770274343,2025-11-11 08:11:15.820402-05:00,2025-11-11 08:18:04.085041-05:00
25620.0,ABSORPTION,SELL,114,159,0.6051403508771923,2025-11-11 08:11:15.935976-05:00,2025-11-11 08:17:00.900000-05:00
25620.0,SWEEP,BUY,2006,0,0.2936570289132573,2025-11-11 07:08:09.053455-05:00,2025-11-11 08:18:04.085041-05:00
25620.0,SWEEP,SELL,1446,0,0.21793305670815893,2025-11-11 07:08:09.091340-05:00,2025-11-11 08:17:00.900000-05:00
25610.0,ABSORPTION,BUY,627,2661,0.618092503987241,2025-11-11 08:08:55.550000-05:00,2025-11-11 08:22:58.400000-05:00
25610.0,ABSORPTION,SELL,361,706,0.6072686980609466,2025-11-11 08:09:15.800000-05:00,2025-11-11 08:22:58.400000-05:00
25610.0,SWEEP,BUY,1406,0,0.3171032716927466,2025-11-11 07:19:07.278487-05:00,2025-11-11 08:22:58.400000-05:00
25610.0,SWEEP,SELL,1341,0,0.2774347501864251,2025-11-11 07:19:07.278487-05:00,2025-11-11 08:22:58.400000-05:00
25600.0,ABSORPTION,BUY,107,786,0.6191028037383174,2025-11-11 08:08:55.550000-05:00,2025-11-11 08:23:44.763935-05:00
25600.0,ABSORPTION,SELL,61,520,0.6340983606557375,2025-11-11 08:08:55.550000-05:00,2025-11-11 08:23:44.763935-05:00
25600.0,SWEEP,BUY,657,0,0.3873887366818848,2025-11-11 07:36:38.696482-05:00,2025-11-11 08:23:44.763935-05:00
25600.0,SWEEP,SELL,371,0,0.2771687331536395,2025-11-11 07:36:38.696482-05:00,2025-11-11 08:23:44.763935-05:00
25590.0,ABSORPTION,BUY,115,1054,0.6333913043478258,2025-11-11 08:23:44.763935-05:00,2025-11-11 08:25:17.481369-05:00
25590.0,ABSORPTION,SELL,29,108,0.6117135278514586,2025-11-11 08:23:44.763935-05:00,2025-11-11 08:25:17.481369-05:00
25590.0,SWEEP,BUY,1427,0,0.4181953749124025,2025-11-11 07:37:34.100000-05:00,2025-11-11 08:25:17.481369-05:00
25590.0,SWEEP,SELL,874,0,0.32912906178489537,2025-11-11 07:37:34.100000-05:00,2025-11-11 08:25:17.481369-05:00
25580.0,ABSORPTION,BUY,119,1184,0.6301848739495797,2025-11-11 08:24:22.100000-05:00,2025-11-11 08:28:15.067634-05:00
25580.0,ABSORPTION,SELL,30,280,0.6373333333333331,2025-11-11 08:24:22.100000-05:00,2025-11-11 08:26:03.085998-05:00
25580.0,SWEEP,BUY,727,0,0.45536341127922925,2025-11-11 07:38:41.049631-05:00,2025-11-11 08:28:15.067634-05:00
25580.0,SWEEP,SELL,424,0,0.3114160377358494,2025-11-11 07:38:41.049631-05:00,2025-11-11 08:26:03.085998-05:00
25570.0,ABSORPTION,BUY,245,2277,0.6322775510204084,2025-11-11 08:25:41.460646-05:00,2025-11-11 08:29:51.007953-05:00
25570.0,ABSORPTION,SELL,88,371,0.61588961038961,2025-11-11 08:25:41.460646-05:00,2025-11-11 08:29:51.007953-05:00
25570.0,SWEEP,BUY,310,0,0.43930580645161327,2025-11-11 08:25:41.460646-05:00,2025-11-11 08:29:51.007953-05:00
25570.0,SWEEP,SELL,168,0,0.3132333333333336,2025-11-11 08:25:41.460646-05:00,2025-11-11 08:29:51.007953-05:00
