date,bias_category,bias_score,confidence,start_price,end_price,price_change,price_change_pct,actual_direction,accuracy,day_low,day_high,hit_plus_1sd,hit_plus_2sd,hit_plus_3sd,hit_minus_1sd,hit_minus_2sd,hit_minus_3sd
2025-10-29,STRONG_BULLISH,87.0,75,24853.0,26311.5,1458.5,5.868506820102201,BULLISH,CORRECT,26047.5,26378.5,True,False,False,True,True,False
2025-10-31,BULLISH,58.5,100,24853.0,25982.4375,1129.4375,4.544471492375166,BULLISH,CORRECT,25887.75,26200.998283764395,False,False,False,True,True,True
2025-11-03,STRONG_BULLISH,115.0,100,24853.0,26118.75,1265.75,5.092946525570354,BULLISH,CORRECT,26012.75,26265.75,True,True,False,True,True,False
2025-11-04,NEUTRAL,49.5,65,24853.0,25578.5625,725.5625,2.9194161670623267,BULLISH,WRONG,25545.0,25893.75,False,False,False,True,False,False
2025-11-05,STRONG_BULLISH,75.0,90,24853.0,25740.25,887.25,3.569991550315857,BULLISH,CORRECT,25487.75,25878.5,True,True,True,False,False,False
2025-11-07,NEUTRAL,46.5,55,24853.0,25180.5,327.5,1.3177483603589104,BULLISH,WRONG,24709.0,25205.0,False,False,False,True,True,True
2025-11-10,STRONG_BULLISH,101.5,85,24853.0,25734.75,881.75,3.5478614251800584,BULLISH,CORRECT,25452.25,25760.0,True,True,True,False,False,False
2025-11-11,NEUTRAL,45.0,35,24853.0,25675.75,822.75,3.3104655373596747,BULLISH,WRONG,25478.5,25695.75,False,False,False,True,True,False
2025-11-12,STRONG_BULLISH,70.0,100,24853.0,25647.25,794.25,3.1957912525650825,BULLISH,CORRECT,25488.75,25780.5,False,False,False,True,True,True
2025-11-13,BEARISH,33.0,80,24853.0,25156.25,303.25,1.220174626805617,BULLISH,WRONG,25002.0,25501.5,False,False,False,True,True,True
2025-11-14,BEARISH,41.0,95,24853.0,25097.5,244.5,0.9837846537641332,BULLISH,WRONG,24626.0,25293.5,True,True,False,True,False,False
2025-11-17,BEARISH,30.0,100,24853.0,24853.0,0.0,0.0,NEUTRAL,PARTIAL,24825.0,25254.75,True,False,False,True,True,True
