price_level,side,action,order_count,total_size,avg_size,first_seen,last_seen
25700.0,SELL,ADD,20,39,1.9500000000000000,2025-11-11 07:00:24.799000-05:00,2025-11-11 08:27:42.926000-05:00
25700.0,SELL,DEPTH,150,10128,67.5200000000000000,2025-11-11 07:00:04.249000-05:00,2025-11-11 08:27:31.121000-05:00
25700.0,SELL,UPDATE,51,150,2.9411764705882353,2025-11-11 07:01:53.425000-05:00,2025-11-11 08:16:15.950000-05:00
25690.0,SELL,ADD,394,968,2.4568527918781726,2025-11-11 07:00:02.984000-05:00,2025-11-11 08:27:29.278000-05:00
25690.0,SELL,DEPTH,3321,19297,5.8105992171032821,2025-11-11 07:00:04.250000-05:00,2025-11-11 08:28:40.118000-05:00
25690.0,SELL,UPDATE,1316,3522,2.6762917933130699,2025-11-11 07:00:00.306000-05:00,2025-11-11 08:25:00.295000-05:00
25680.0,SELL,ADD,219,490,2.2374429223744292,2025-11-11 07:01:08.457000-05:00,2025-11-11 08:27:02.520000-05:00
25680.0,SELL,DEPTH,903,4564,5.0542635658914729,2025-11-11 07:00:49.651000-05:00,2025-11-11 08:26:51.833000-05:00
25680.0,SELL,UPDATE,260,674,2.5923076923076923,2025-11-11 07:00:01.732000-05:00,2025-11-11 08:23:43.257000-05:00
25670.0,SELL,ADD,314,783,2.4936305732484076,2025-11-11 07:00:03.275000-05:00,2025-11-11 08:27:13.391000-05:00
25670.0,SELL,DEPTH,2057,13782,6.7000486144871172,2025-11-11 07:00:04.265000-05:00,2025-11-11 08:28:17.900000-05:00
25670.0,SELL,UPDATE,735,1983,2.6979591836734694,2025-11-11 07:00:04.576000-05:00,2025-11-11 08:28:34.940000-05:00
25660.0,SELL,ADD,527,1277,2.4231499051233397,2025-11-11 07:00:03.111000-05:00,2025-11-11 08:29:10-05:00
25660.0,SELL,DEPTH,2198,15596,7.0955414012738854,2025-11-11 07:00:04.275000-05:00,2025-11-11 08:29:02.056000-05:00
25660.0,SELL,UPDATE,729,2242,3.0754458161865569,2025-11-11 07:02:45.306000-05:00,2025-11-11 08:29:09.342000-05:00
25650.0,SELL,ADD,631,1281,2.0301109350237718,2025-11-11 07:00:15.717000-05:00,2025-11-11 08:29:39.534000-05:00
25650.0,SELL,DEPTH,1831,17642,9.6351720371381759,2025-11-11 07:00:04.278000-05:00,2025-11-11 08:29:53.871000-05:00
25650.0,SELL,UPDATE,372,2082,5.5967741935483871,2025-11-11 07:00:00.328000-05:00,2025-11-11 08:29:54.755000-05:00
25640.0,SELL,ADD,1307,1804,1.3802601377199694,2025-11-11 07:00:02.927000-05:00,2025-11-11 08:29:32.810000-05:00
25640.0,SELL,DEPTH,2847,32163,11.2971548998946259,2025-11-11 07:00:04.287000-05:00,2025-11-11 08:29:53.884000-05:00
25640.0,SELL,UPDATE,362,2294,6.3370165745856354,2025-11-11 07:00:07.718000-05:00,2025-11-11 08:28:23.825000-05:00
25630.0,BUY,ADD,4542,4930,1.0854249229414355,2025-11-11 07:02:35.867000-05:00,2025-11-11 07:23:31.312000-05:00
25630.0,BUY,DEPTH,8484,42679,5.0305280528052805,2025-11-11 07:02:10.960000-05:00,2025-11-11 07:23:31.643000-05:00
25630.0,BUY,UPDATE,441,855,1.9387755102040816,2025-11-11 07:02:40.453000-05:00,2025-11-11 07:16:59.384000-05:00
25630.0,SELL,ADD,8266,9613,1.1629566900556496,2025-11-11 07:00:02.919000-05:00,2025-11-11 08:28:37.810000-05:00
25630.0,SELL,DEPTH,15168,114675,7.5603243670886076,2025-11-11 07:00:04.297000-05:00,2025-11-11 08:29:53.889000-05:00
25630.0,SELL,UPDATE,1284,3755,2.9244548286604361,2025-11-11 07:00:00.823000-05:00,2025-11-11 08:25:51.728000-05:00
25620.0,BUY,ADD,17216,18791,1.09148466542750929368,2025-11-11 07:00:02.920000-05:00,2025-11-11 08:16:59.727000-05:00
25620.0,BUY,DEPTH,32076,172593,5.3807519640852974,2025-11-11 07:00:04.196000-05:00,2025-11-11 08:17:01.333000-05:00
25620.0,BUY,UPDATE,1833,3472,1.8941625750136388,2025-11-11 07:00:01.251000-05:00,2025-11-11 08:16:59.914000-05:00
25620.0,SELL,ADD,20312,22329,1.09930090586845214651,2025-11-11 07:00:02.931000-05:00,2025-11-11 08:29:33.208000-05:00
25620.0,SELL,DEPTH,37852,231980,6.1286061502694706,2025-11-11 07:00:04.325000-05:00,2025-11-11 08:29:53.897000-05:00
25620.0,SELL,UPDATE,2478,6040,2.4374495560936239,2025-11-11 07:00:04.422000-05:00,2025-11-11 08:29:55.665000-05:00
25610.0,BUY,ADD,12468,13773,1.10466794995187680462,2025-11-11 07:00:02.930000-05:00,2025-11-11 08:22:57.991000-05:00
25610.0,BUY,DEPTH,21810,141271,6.4773498395231545,2025-11-11 07:00:04.159000-05:00,2025-11-11 08:22:58.810000-05:00
25610.0,BUY,UPDATE,1585,3404,2.1476340694006309,2025-11-11 07:00:00.269000-05:00,2025-11-11 08:22:54.571000-05:00
25610.0,SELL,ADD,10275,11460,1.11532846715328467153,2025-11-11 07:01:07.815000-05:00,2025-11-11 08:28:49.845000-05:00
25610.0,SELL,DEPTH,16968,94740,5.5834512022630835,2025-11-11 07:00:49.907000-05:00,2025-11-11 08:29:53.904000-05:00
25610.0,SELL,UPDATE,1222,3505,2.8682487725040917,2025-11-11 07:00:50.025000-05:00,2025-11-11 08:29:28.650000-05:00
